playerid,version_date,name,age,team,drc_warp,drc_plus,drc_sd,drc_raa,brr,fraa,g,pa,ab,r,h,b1,b2,b3,hr,rbi,sb,cs,bb,so,hbp,tb,avg,obp,slg,ops,iso,babip,salary
834,36800,Todd Helton,26,COL,9.6,169,8,70.5,0.7,24,160,697,580,138,216,113,59,2,42,147,5,3,103,61,4,405,0.372,0.463,0.698,1.162,0.326,0.357,1300000
1292,36800,Alex Rodriguez,24,SEA,9.3,158,8,57.6,5.3,5.6,148,672,554,134,175,98,34,2,41,132,15,4,100,121,7,336,0.316,0.42,0.606,1.026,0.291,0.333,4362500
436,36800,Barry Bonds,35,SFN,8.9,183,9,73.4,2,5,143,607,480,129,147,66,28,4,49,106,11,3,117,77,3,330,0.306,0.44,0.688,1.127,0.381,0.271,10700000
879,36800,Troy Glaus,23,ANA,8.5,152,8,52.6,1.7,12.9,159,678,563,120,160,75,37,1,47,102,14,11,112,163,2,340,0.284,0.404,0.604,1.008,0.32,0.319,275000
1321,36800,Nomar Garciaparra,26,BOS,7.7,153,10,47.2,-2.5,10.5,140,599,529,104,197,122,51,3,21,96,5,2,61,50,2,317,0.372,0.434,0.599,1.033,0.227,0.378,3700000
875,36800,Darin Erstad,26,ANA,7.6,129,10,34.6,4.4,25.1,157,747,676,121,240,170,39,6,25,100,28,8,64,82,1,366,0.355,0.409,0.541,0.951,0.186,0.375,2500000
1583,36800,Jason Giambi,29,OAK,7.4,181,11,78,-3.7,-2.4,152,664,510,108,170,97,29,1,43,137,2,0,137,96,9,330,0.333,0.476,0.647,1.123,0.314,0.335,3103333
19,36800,Richard Hidalgo,25,HOU,7.2,143,9,42.1,-1.8,16.1,153,644,558,118,175,86,42,3,44,122,13,6,56,110,21,355,0.314,0.391,0.636,1.028,0.323,0.317,#N/A
86,36800,Andruw Jones,23,ATL,7,124,7,28.6,4.1,17.4,161,729,656,122,199,121,36,6,36,104,21,6,59,100,9,355,0.303,0.366,0.541,0.907,0.238,0.31,3700000
4,36800,Jeff Bagwell,32,HOU,7,156,10,59.9,0.6,6.1,159,719,590,152,183,98,37,1,47,132,9,6,107,116,15,363,0.31,0.424,0.615,1.039,0.305,0.313,6500000
453,36800,Jeff Kent,32,SFN,6.9,152,6,53.8,-3.4,3.6,159,695,587,114,196,115,41,7,33,125,12,9,90,107,9,350,0.334,0.424,0.596,1.021,0.262,0.357,6000000
650,36800,Bobby Abreu,26,PHI,6.7,137,7,39,-1.4,21.2,154,680,576,103,182,105,42,10,25,79,28,8,100,116,1,319,0.316,0.416,0.554,0.97,0.238,0.358,2933000
574,36800,Mike Piazza,31,NYN,6.7,154,8,43.7,-3,4.8,136,545,482,90,156,92,26,0,38,113,4,2,58,69,3,296,0.324,0.398,0.614,1.012,0.29,0.313,12071429
